sample_ID,subfolder,species,ssn_value
2,DFB_R_25_clean/barcode06_test,Escherichia coli,1
6,DFB_R_27_clean/barcode05_test,Escherichia coli,1
8,DFB_R_9_clean/barcode07_test,Klebsiella pneumoniae,1
9,DFB_R_23_clean/barcode07_test,Klebsiella pneumoniae,1
10,DFB_R_23_clean/barcode11_test,Klebsiella pneumoniae,1
15,DFB_R_26_clean/barcode05_test,Escherichia coli,1
16,DFB_R_24_clean/barcode05_test,Escherichia coli,1
23,DFB_R_13_clean/barcode05_test,Escherichia coli,1
24,DFB_R_11_clean/barcode11_test,Escherichia coli,1
25,DFB_R_11_clean/barcode01_test,Klebsiella pneumoniae,1
32,DFB_R_28_clean/barcode2810_test,Escherichia coli,1
35,DFB_R_7_clean/barcode09_test,Escherichia coli,1
39,DFB_R_34_clean/barcode07_test,Klebsiella pneumoniae,1
40,DFB_R_36_clean/barcode08_test,Escherichia coli,1
12,DFB_R_21_clean/barcode06_test,Escherichia coli,1.0008720802135738
29,DFB_R_35_clean/barcode04_test,Escherichia coli,1.000900350702698
21,DFB_R_8_clean/barcode09_test,Escherichia coli,1.0014231441959682
27,DFB_R_11_clean/barcode05_test,Escherichia coli,1.0017082685406358
13,DFB_R_26_clean/barcode10_test,Escherichia coli,1.0018751497291676
37,DFB_R_10_clean/barcode06_test,Escherichia coli,1.0025233806847522
38,DFB_R_10_clean/barcode05_test,Escherichia coli,1.0026127430758385
28,DFB_R_6_clean/barcode10_test,Escherichia coli,1.0035397499688303
11,DFB_R_23_clean/barcode05_test,Escherichia coli,1.0037308897216166
20,DFB_R_8_clean/barcode08_test,Escherichia coli,1.0052019022313838
5,DFB_R_27_clean/barcode10_test,Escherichia coli,1.0064679542460455
36,DFB_R_10_clean/barcode10_test,Escherichia coli,1.0070659858296263
34,DFB_R_33_clean/barcode06_test,Escherichia coli,1.010256984433657
18,DFB_R_20_clean/barcode09_test,Escherichia coli,1.0108803438835678
48,DFB_R_30_clean/barcode3009_test,Escherichia coli,1.0129611563450132
3,DFB_R_25_clean/barcode11_test,Escherichia coli,1.0142953878997272
30,DFB_R_31_clean/barcode3109_test,Escherichia coli,1.0153124219931735
17,DFB_R_20_clean/barcode11_test,Escherichia coli,1.0202535768770278
52,DFB_R_14_clean/barcode07_test,Escherichia coli,1.0225700246472114
51,DFB_R_29_clean/barcode2910_test,Escherichia coli,1.0257515350981614
42,DFB_R_12_clean/barcode04_test,Escherichia coli,1.0278743162363049
46,DFB_R_16_clean/barcode04_test,Escherichia coli,1.0332972953059874
14,DFB_R_26_clean/barcode08_test,Escherichia coli,1.0639479171153574
44,DFB_R_5_clean/barcode02_test,Klebsiella pneumoniae,1.0751749098147994
33,DFB_R_2_clean/barcode09_test,Klebsiella pneumoniae,1.1506449281297235
22,DFB_R_4_clean/barcode04_test,Escherichia coli,1.1664310640104878
49,DFB_R_3_clean/barcode10_test,Escherichia coli,1.1932550243101883
43,DFB_R_12_clean/barcode09_test,Escherichia coli,1.1933106780486005
31,DFB_R_15_clean/barcode01_test,Escherichia coli,1.195438672547358
7,DFB_R_9_clean/barcode10_test,Klebsiella pneumoniae,1.1982553237143188
45,DFB_R_5_clean/barcode08_test,Escherichia coli,1.2029538151403592
26,DFB_R_11_clean/barcode02_test,Escherichia coli,1.2106179902834164
4,DFB_R_25_clean/barcode04_test,Escherichia coli,1.2124486757795148
19,DFB_R_22_clean/barcode11_test,Escherichia coli,1.2309609286058731
41,DFB_R_12_clean/barcode08_test,Escherichia coli,1.2556400847290279
50,DFB_R_3_clean/barcode01_test,Escherichia coli,1.275341394409513
1,DFB_R_18_clean/barcode04_test,Escherichia coli,1.3063930898867495
47,DFB_R_32_clean/barcode01_test,Escherichia coli,1.8543317653994495
